Orig_subID,Orig_ses,Original_file,Renamed_subID,Renamed_ses,Renamed_file,nvols,type,image_folder,image_type
sub-MILO,ses-20220602,sub-MILO_ses-20220602_run-1_T1w.json,sub-001,ses-020,sub-001_ses-020_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220602,sub-MILO_ses-20220602_run-2_T1w.nii.gz,sub-001,ses-020,sub-001_ses-020_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220602,sub-MILO_ses-20220602_run-2_T1w.json,sub-001,ses-020,sub-001_ses-020_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220602,sub-MILO_ses-20220602_T2w.nii.gz,sub-001,ses-020,sub-001_ses-020_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220602,sub-MILO_ses-20220602_T2w.json,sub-001,ses-020,sub-001_ses-020_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220616,sub-MILO_ses-20220616_run-1_T1w.nii.gz,sub-001,ses-021,sub-001_ses-021_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220616,sub-MILO_ses-20220616_run-1_T1w.json,sub-001,ses-021,sub-001_ses-021_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220616,sub-MILO_ses-20220616_run-2_T1w.nii.gz,sub-001,ses-021,sub-001_ses-021_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220616,sub-MILO_ses-20220616_run-2_T1w.json,sub-001,ses-021,sub-001_ses-021_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220616,sub-MILO_ses-20220616_T2w.nii.gz,sub-001,ses-021,sub-001_ses-021_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220616,sub-MILO_ses-20220616_T2w.json,sub-001,ses-021,sub-001_ses-021_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220628,sub-MILO_ses-20220628_run-1_T1w.nii.gz,sub-001,ses-022,sub-001_ses-022_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220628,sub-MILO_ses-20220628_run-1_T1w.json,sub-001,ses-022,sub-001_ses-022_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220628,sub-MILO_ses-20220628_run-2_T1w.nii.gz,sub-001,ses-022,sub-001_ses-022_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220628,sub-MILO_ses-20220628_run-2_T1w.json,sub-001,ses-022,sub-001_ses-022_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220628,sub-MILO_ses-20220628_T2w.nii.gz,sub-001,ses-022,sub-001_ses-022_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220628,sub-MILO_ses-20220628_T2w.json,sub-001,ses-022,sub-001_ses-022_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220712,sub-MILO_ses-20220712_run-1_T1w.nii.gz,sub-001,ses-023,sub-001_ses-023_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220712,sub-MILO_ses-20220712_run-1_T1w.json,sub-001,ses-023,sub-001_ses-023_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220712,sub-MILO_ses-20220712_run-2_T1w.nii.gz,sub-001,ses-023,sub-001_ses-023_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220712,sub-MILO_ses-20220712_run-2_T1w.json,sub-001,ses-023,sub-001_ses-023_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220712,sub-MILO_ses-20220712_T2w.nii.gz,sub-001,ses-023,sub-001_ses-023_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220712,sub-MILO_ses-20220712_T2w.json,sub-001,ses-023,sub-001_ses-023_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220726,sub-MILO_ses-20220726_run-1_T1w.nii.gz,sub-001,ses-024,sub-001_ses-024_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220726,sub-MILO_ses-20220726_run-1_T1w.json,sub-001,ses-024,sub-001_ses-024_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220726,sub-MILO_ses-20220726_run-2_T1w.nii.gz,sub-001,ses-024,sub-001_ses-024_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220726,sub-MILO_ses-20220726_run-2_T1w.json,sub-001,ses-024,sub-001_ses-024_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220726,sub-MILO_ses-20220726_T2w.nii.gz,sub-001,ses-024,sub-001_ses-024_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220726,sub-MILO_ses-20220726_T2w.json,sub-001,ses-024,sub-001_ses-024_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220823,sub-MILO_ses-20220823_run-1_T1w.nii.gz,sub-001,ses-025,sub-001_ses-025_run-1_T1w.nii.gz,1,nifti,anat,T1w
